Gen:        Fevals:          Best:   Improvement:     Mutations:
   2562           2562       -121.318     0.00984183              1
   2567           2567       -121.318    0.000523821              1
   2577           2577       -121.351      0.0325172              1
   2581           2581       -121.371      0.0204752              1
   2582           2582       -121.372    0.000257779              1
   2593           2593       -121.378     0.00620174              1
   2595           2595       -121.379     0.00103431              1
   2597           2597       -121.381     0.00153528              1
   2601           2601       -121.384     0.00315682              1
   2609           2609       -121.397      0.0131905              1
   2613           2613       -121.404     0.00710918              1
